id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2907558,Caturama,BA,0.446,0.543,234.88,0.49,42.42,27.88,8.08,7.84,3.1
2907608,Central,BA,0.538,0.54,23.11,0.54,46.19,20.01,8.72,10.67,3.2
2907707,Chorrochó,BA,0.503,0.552,24.85,0.58,46.56,28.38,7.35,7.57,3.1
2907806,Cícero Dantas,BA,0.477,0.59,315.19,0.53,36.83,32.89,8.71,5.86,2.7
2907905,Cipó,BA,0.496,0.589,312.03,0.55,38.16,23.83,8.94,4.33,2.9
2908002,Coaraci,BA,0.491,0.615,366.33,0.54,29.86,23.55,8.4,12.98,2.7
2908101,Cocos,BA,0.471,0.558,258.27,0.56,44.13,24.88,7.69,12.7,3.3
2908200,Conceição da Feira,BA,0.548,0.606,348.39,0.56,32.84,16.03,8.16,17.75,3
2908309,Conceição do Almeida,BA,0.479,0.578,290.98,0.56,41.69,20.44,8.26,25.13,3
2908408,Conceição do Coité,BA,0.517,0.587,309.61,0.48,32.42,19.84,8.49,6.83,3.4
2908507,Conceição do Jacuípe,BA,0.579,0.63,403.18,0.48,21.54,12.39,9.18,14.81,2.9
2908606,Conde,BA,0.451,0.551,246.81,0.63,56.43,24.09,7.8,10.12,3
2908705,Condeúba,BA,0.447,0.559,260.07,0.49,40.3,27.24,8.38,7.6,3.8
2908804,Contendas do Sincorá,BA,0.477,0.579,293.12,0.51,35.43,26.71,9.66,10.83,2.6
2908903,Coração de Maria,BA,0.489,0.558,257.21,0.52,42.58,21,9.31,9.25,2.8
2909000,Cordeiros,BA,0.454,0.561,263.24,0.45,33.98,25.58,8.82,8.68,3.4
2909109,Coribe,BA,0.491,0.545,237.03,0.58,48.62,28.37,8.8,9.88,3.3
2909208,Coronel João Sá,BA,0.392,0.545,238.18,0.48,42.31,39.29,8.15,3.93,3.1
2909307,Correntina,BA,0.481,0.575,285.96,0.58,43.17,23.46,7.1,7.04,3.3
2909406,Cotegipe,BA,0.504,0.545,23.75,0.56,49.02,29.82,8.53,10.5,3.4
2909505,Cravolândia,BA,0.503,0.559,259.87,0.53,42.52,27.78,8.92,7.25,2.8
2909604,Crisópolis,BA,0.387,0.542,23.26,0.57,51.72,30.66,7.8,3.55,3
